"_resultNumber	_pageUrl	brand	model	network_technology	body_dimensions	body_weight	sim	display_type	display_size	display_resolution	multitouch	os	chipset	cpu	gpu	memory_card_slot	memory_internal	camera_primary	camera_features	camera_video	camera_secondary	alert_types	loudspeaker	three_dot_five_mm_jack	wlan	bluetooth	gps	radio	usb	sensors	messaging	browser	java	battery	battery_stand_by	battery_talk_time	battery_music_play	color	image	image/_source	image/_title	image/_alt"
"1	http://www.gsmarena.com/samsung_galaxy_j1-6907.php	Samsung	Galaxy J1	GSM / HSPA	129 x 68.2 x 8.9 mm (5.08 x 2.69 x 0.35 in)	122 g (4.30 oz)	Optional Dual SIM (Micro-SIM dual stand-by)	TFT capacitive touchscreen 16M colors	4.3 inches (~59.8% screen-to-body ratio)	480 x 800 pixels (~217 ppi pixel density)	Yes	Android OS v4.4.4 (KitKat)	Spreadtrum	Dual-core 1.2 GHz Cortex-A7	Mali-400	microSD up to 128 GB	4 GB 512 MB RAM	5 MP 2592 ? 1944 pixels autofocus LED flash	Geo-tagging touch focus face detection	720p@30fps	2 MP	Vibration; MP3 WAV ringtones	Yes	Yes	Wi-Fi 802.11 b/g/n Wi-Fi Direct hotspot	v4.0 A2DP	Yes with A-GPS GLONASS	FM radio with RDS; recording	microUSB v2.0	Accelerometer proximity	SMS(threaded view) MMS Email Push Mail IM	HTML	Yes via Java MIDP emulator	Li-Ion 1850 mAh battery		Talk time; Up to 10 h (3G)	Up to 40 h	White Black Blue	http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j1-sm-j100h1.jpg			Samsung Galaxy J1MORE PICTURES"
"2	http://www.gsmarena.com/samsung_galaxy_s5_lte_a_g901f-6576.php	Samsung	Galaxy S5 LTE-A G901F	GSM / HSPA / LTE	142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in)	145 g (5.11 oz)	Micro-SIM	Super AMOLED capacitive touchscreen 16M colors	5.1 inches (~69.6% screen-to-body ratio)	1080 x 1920 pixels (~432 ppi pixel density)	Yes	Android OS v4.4.2 (KitKat)	Qualcomm Snapdragon 805	Quad-core 2.5 GHz Krait 450	Adreno 420	microSD up to 128 GB	16/32 GB 2 GB RAM	16 MP 5312 x 2988 pixels phase detection autofocus LED flash	1/2.6'' sensor size 1.12 µm pixel size Dual Shot Simultaneous HD video and image recording geo-tagging touch focus face/smile detection HDR	2160p@30fps 1080p@60fps 720p@120fps HDR dual-video rec.	2 MP 1080p@30fps dual video call	Vibration; MP3 WAV ringtones	Yes	Yes	Wi-Fi 802.11 a/b/g/n/ac dual-band Wi-Fi Direct hotspot	v4.0 A2DP EDR LE apt-X	Yes with A-GPS GLONASS	Yes	Yes	Accelerometer gyro proximity compass barometer gesture heart rate	SMS(threaded view) MMS Email Push Mail IM	HTML5	Yes via Java MIDP emulator	Li-Ion 2800 mAh battery		Talk time		Charcoal Black Shimmering White Electric Blue Copper Gold	http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s5-g900f.jpg			Samsung Galaxy S5 LTE-A G901FMORE PICTURES"
"3	http://www.gsmarena.com/samsung_e1272-6170.php	Samsung	E1272	GSM	95 x 46.5 x 18 mm (3.74 x 1.83 x 0.71 in)	82.9 g (2.93 oz)	Dual SIM (Mini-SIM dual stand-by)	TFT 65K colors	1.77 inches (~22.3% screen-to-body ratio)	128 x 160 pixels (~116 ppi pixel density)		208 MHz				No	Yes	No				Vibration MP3 ringtones	Yes	Yes	No		No	FM radio	microUSB	SMS		No		Li-Ion 800 mAh battery		Talk time; Up to 11 h		Black White Red	http://cdn2.gsmarena.com/vv/bigpic/samsung-gt-e1272.jpg			Samsung E1272MORE PICTURES"
"4	http://www.gsmarena.com/samsung_z1-6894.php	Samsung	Z1	GSM / HSPA	120.4 x 63.2 x 9.7 mm (4.74 x 2.49 x 0.38 in)	112 g (3.95 oz)	Dual SIM	PLS TFT capacitive touchscreen 16M colors	4.0 inches (~59.8% screen-to-body ratio)	480 x 800 pixels (~233 ppi pixel density)	Yes	Tizen OS v2.3	Spreadtrum SC7727S	Dual-core 1.2 GHz Cortex-A7	Mali-400	microSD up to 64 GB	4 GB 768 MB RAM	3.15 MP 2048 x 1536 pixels LED flash	Geo-tagging face detection	Yes	VGA	Vibration; MP3 WAV ringtones	Yes	Yes	Wi-Fi 802.11 b/g/n	v4.1 A2DP	Yes with A-GPS	FM radio	microUSB v2.0	Accelerometer	SMS(threaded view) MMS Email Push Mail IM	HTML	Yes via Java MIDP emulator	Li-Ion 1500 mAh battery		Talk time; Up to 8 h (3G)		White Black Wine Red	http://cdn2.gsmarena.com/vv/bigpic/samsung-z-1.jpg			Samsung Z1MORE PICTURES"
"5	http://www.gsmarena.com/verykool-phones-70.php	verykool	phones																																							"
"6	http://www.gsmarena.com/toshiba-phones-44.php	Toshiba	phones																																							"
"7	http://www.gsmarena.com/hp-phones-41.php	HP																																								"
"8	http://www.gsmarena.com/micromax-phones-66.php	Micromax	phones																																							"
"9	http://www.gsmarena.com/huawei-phones-58.php	Huawei	phones																																							"
"10	http://www.gsmarena.com/sewon-phones-26.php	Sewon																																								"
"11	http://www.gsmarena.com/camera_shootout-review-1104.php	Camera																																								"
"12	http://www.gsmarena.com/gigabyte-phones-47.php	Gigabyte	phones																																							"
"13	http://www.gsmarena.com/lava-phones-94.php	Lava	phones																																							"
"14	http://www.gsmarena.com/karbonn-phones-83.php	Karbonn																																								"
"15	http://www.gsmarena.com/xcute-phones-43.php	XCute																																								"
"16	http://www.gsmarena.com/nvidia-phones-97.php	Nvidia																																								"
"17	http://www.gsmarena.com/lg-phones-20.php	LG	phones																																							"
"18	http://www.gsmarena.com/xolo-phones-85.php	XOLO	phones																																							"
"19	http://www.gsmarena.com/vk_mobile-phones-37.php	VK																																								"
"20	http://www.gsmarena.com/inq-phones-60.php	iNQ																																								"
"21	http://www.gsmarena.com/microsoft-phones-64.php	Microsoft	phones																																							"
"22	http://www.gsmarena.com/nec-phones-12.php	NEC																																								"
"23	http://www.gsmarena.com/spice_brings_android_one_to_indonesia_nepal_and_sri_lanka-news-11108.php	Spice	brings Android One to Indonesia Nepal and Sri Lanka																																							"
"24	http://www.gsmarena.com/icemobile-phones-69.php	Icemobile																																								"
"25	http://www.gsmarena.com/prestigio-phones-86.php	Prestigio	phones																																							"
"26	http://www.gsmarena.com/mitac-phones-25.php	Mitac																																								"
"27	http://www.gsmarena.com/motorola-phones-4.php	Motorola	phones																																							"
"28	http://www.gsmarena.com/yu-phones-100.php	YU																																								"
